registration_id,age,age_group,gender,region,ticket_type,registration_channel,event_category,days_before_event_registered,ticket_price,previous_events_attended,email_reminders_opened,social_media_clicks,distance_to_venue_km,group_registration,calendar_invite_accepted,attended_event
EV0063,21,18-25,Male,East,Standard,Mobile App,Arts,108,78,12,3,9,24.2,No,Yes,1
EV0064,77,51+,Male,North,Standard,Partner Site,Business,62,72,3,4,8,21.3,No,Yes,1
EV0065,26,26-35,Female,West,Standard,Phone,Health,27,42,7,3,2,5.9,Yes,Yes,1
EV0066,50,36-50,Male,West,Standard,Partner Site,Health,5,176,4,0,4,75.5,No,No,0
EV0067,22,18-25,Female,West,Student,Mobile App,Business,9,20,16,6,2,75.4,No,No,1
EV0068,47,36-50,Male,East,Standard,Phone,Arts,22,50,6,0,11,94.9,No,No,0
EV0069,58,51+,Female,West,Free,Phone,Education,6,0,0,3,5,34.1,Yes,Yes,1
EV0070,48,36-50,Male,North,Standard,Phone,Health,66,45,3,4,6,85.3,No,Yes,1
EV0071,22,18-25,Female,East,Standard,Mobile App,Health,94,99,1,6,7,68.5,Yes,Yes,0
EV0072,73,51+,Female,East,Student,Mobile App,Business,119,17,5,6,3,85.0,No,Yes,1
EV0073,44,36-50,Male,North,Standard,Partner Site,Health,14,172,2,0,1,85.5,No,Yes,0
EV0074,21,18-25,Male,East,Free,Mobile App,Technology,12,0,9,0,2,38.3,No,No,0
EV0075,64,51+,Male,North,Standard,Partner Site,Education,75,77,4,1,6,45.6,Yes,Yes,1
EV0076,43,36-50,Female,West,VIP,Mobile App,Education,24,442,13,4,7,77.3,No,No,1
EV0077,23,18-25,Female,East,Student,Phone,Technology,12,21,2,3,10,75.4,No,No,1
EV0078,58,51+,Male,South,Free,Website,Health,68,0,13,6,9,54.8,No,No,1
EV0079,52,51+,Male,North,Free,Phone,Health,80,0,5,6,5,64.7,No,Yes,1
EV0080,19,18-25,Female,South,Standard,Mobile App,Arts,106,47,1,6,5,87.5,No,Yes,0
EV0081,65,51+,Male,West,Free,Website,Health,33,0,4,3,0,3.3,No,No,0
EV0082,37,36-50,Female,East,Student,Partner Site,Health,117,19,6,0,6,74.8,No,No,0
EV0083,51,51+,Male,South,Standard,Mobile App,Business,68,113,5,1,6,73.4,No,No,0
EV0084,70,51+,Female,North,Free,Website,Health,90,0,18,4,12,26.4,Yes,Yes,1
EV0085,52,51+,Female,South,Standard,Website,Education,55,158,2,4,11,52.6,Yes,Yes,1
EV0086,76,51+,Female,South,Standard,Mobile App,Education,103,124,8,5,3,38.1,No,Yes,1
EV0087,36,36-50,Female,South,Standard,Phone,Health,6,148,8,5,9,2.9,No,No,1
EV0088,55,51+,Male,South,Free,Partner Site,Health,79,0,8,0,10,2.1,Yes,Yes,1
EV0089,64,51+,Female,West,Standard,Phone,Business,39,111,17,3,4,18.9,No,No,1
EV0090,39,36-50,Male,South,Free,Mobile App,Business,86,0,8,6,4,17.1,Yes,Yes,1
EV0091,71,51+,Male,South,Free,Website,Technology,98,0,2,0,0,85.5,No,Yes,0
EV0092,35,26-35,Female,North,Standard,Mobile App,Education,40,85,5,0,1,41.1,No,Yes,0
EV0093,68,51+,Male,East,Free,Mobile App,Technology,51,0,8,2,9,44.7,No,Yes,1
EV0094,33,26-35,Male,West,VIP,Mobile App,Business,106,230,6,2,5,13.0,No,Yes,1
EV0095,76,51+,Female,West,Free,Phone,Arts,56,0,1,2,2,42.0,No,Yes,0
EV0096,37,36-50,Male,West,Standard,Mobile App,Health,113,49,16,0,4,67.4,Yes,No,0
EV0097,67,51+,Female,North,Free,Partner Site,Health,85,0,18,4,8,58.3,Yes,Yes,1
EV0098,74,51+,Male,East,Free,Partner Site,Education,115,0,7,4,9,26.1,No,No,1
EV0099,26,26-35,Male,North,Student,Website,Health,1,23,1,5,1,30.0,Yes,Yes,1
EV0100,27,26-35,Male,East,VIP,Phone,Technology,39,283,17,2,8,2.9,No,Yes,1
EV0101,28,26-35,Female,North,Standard,Phone,Education,27,143,9,4,5,8.7,Yes,No,1
EV0102,65,51+,Female,South,Standard,Phone,Technology,118,121,6,3,8,16.6,No,Yes,1
EV0103,58,51+,Male,East,Free,Website,Education,19,0,1,3,10,59.7,Yes,Yes,1
EV0104,20,18-25,Female,South,Standard,Partner Site,Business,51,100,7,6,1,87.9,Yes,Yes,1
EV0105,54,51+,Male,South,Free,Partner Site,Technology,111,0,4,3,2,66.8,No,No,0
EV0106,65,51+,Male,West,Standard,Phone,Technology,74,160,11,2,6,45.8,No,Yes,0
EV0107,50,36-50,Male,East,Standard,Partner Site,Business,50,81,8,3,12,40.2,No,No,1
EV0108,62,51+,Female,East,Student,Phone,Health,74,31,0,5,2,86.3,No,No,0
EV0109,71,51+,Male,West,Student,Website,Business,4,25,3,3,11,92.7,Yes,No,0
EV0110,42,36-50,Male,West,Free,Mobile App,Arts,17,0,5,3,1,90.8,No,Yes,1
EV0111,47,36-50,Female,East,VIP,Mobile App,Health,72,397,0,2,12,16.9,Yes,No,0
EV0112,29,26-35,Male,East,Free,Partner Site,Arts,61,0,17,2,4,92.0,Yes,No,0
EV0113,41,36-50,Female,South,Free,Mobile App,Health,89,0,2,0,5,62.2,Yes,Yes,0
EV0114,66,51+,Female,North,Student,Website,Health,23,31,0,3,1,17.9,Yes,No,0
EV0115,57,51+,Female,South,Student,Phone,Technology,65,29,10,4,10,18.7,No,Yes,1
EV0116,57,51+,Male,South,Free,Partner Site,Business,57,0,0,2,0,65.9,No,No,0
EV0117,60,51+,Male,East,Free,Partner Site,Education,93,0,8,5,11,39.0,No,Yes,1
EV0118,67,51+,Male,West,Standard,Website,Education,87,147,8,2,10,48.9,No,Yes,1
EV0119,41,36-50,Male,North,Free,Website,Technology,7,,12,4,2,61.1,No,No,1
EV0120,69,51+,Male,North,Standard,Mobile App,Technology,36,93,7,6,9,88.1,No,Yes,1
EV0121,25,18-25,Female,South,VIP,Website,Business,82,442,10,0,11,,No,Yes,0
EV0122,51,51+,Female,West,Free,Website,Technology,97,0,6,2,4,83.1,No,No,0
EV0123,46,36-50,Male,East,Standard,Partner Site,Arts,51,169,5,5,8,79.1,Yes,Yes,1
EV0124,52,51+,Female,West,Free,Mobile App,Education,77,0,13,1,0,43.3,No,No,0
EV0125,25,18-25,Male,East,Free,Partner Site,Technology,77,0,0,1,1,10.5,No,Yes,0
EV0126,34,26-35,Male,North,Free,Mobile App,Health,62,0,18,3,8,25.0,No,Yes,1
EV0127,78,51+,Male,South,Standard,Website,Health,1,172,11,2,2,31.4,No,No,1
EV0128,52,51+,Male,South,Student,Partner Site,Education,4,25,5,4,5,62.5,Yes,Yes,1
EV0129,18,18-25,Female,North,VIP,Phone,Health,119,397,10,1,8,81.4,Yes,No,1
EV0130,31,26-35,Male,North,Standard,Website,Arts,15,46,16,1,6,17.4,Yes,No,1
EV0131,69,51+,Male,North,Standard,Partner Site,Health,95,45,9,4,6,19.2,No,Yes,1
EV0132,62,51+,Male,South,Free,Phone,Health,55,0,12,4,0,7.8,No,Yes,1
EV0133,48,36-50,Male,North,Free,Website,Arts,71,0,15,5,7,75.3,No,Yes,1
EV0134,40,36-50,Male,East,Free,Website,Technology,42,0,3,5,7,12.1,No,Yes,1
EV0135,46,36-50,Male,North,Free,Partner Site,Arts,12,0,16,4,3,58.2,Yes,Yes,1
EV0136,60,51+,Male,North,VIP,Partner Site,Education,77,214,1,1,0,68.0,No,Yes,0
EV0137,69,51+,Female,North,Standard,Partner Site,Health,26,120,0,1,5,89.7,Yes,Yes,0
EV0138,50,36-50,Male,South,Standard,Website,Arts,7,176,6,2,5,1.3,No,Yes,1
EV0139,54,51+,Female,North,Standard,Partner Site,Business,74,179,15,6,12,59.9,No,Yes,1
EV0140,67,51+,Female,North,VIP,Website,Business,119,384,5,1,0,23.4,No,Yes,0
EV0141,20,18-25,Female,East,Standard,Phone,Education,62,168,0,6,12,75.4,Yes,Yes,1
EV0142,23,18-25,Male,South,Standard,Phone,Arts,71,48,6,5,6,53.3,No,No,0
EV0143,62,51+,Male,North,Standard,Phone,Health,49,166,15,5,12,10.0,Yes,Yes,1
EV0144,67,51+,Female,East,Standard,Mobile App,Arts,48,170,7,1,2,42.4,No,No,0
EV0145,73,51+,Male,South,Standard,Partner Site,Technology,22,63,2,0,5,86.9,No,Yes,0
EV0146,31,26-35,Female,East,Standard,Phone,Business,24,68,7,0,3,32.1,No,No,0
EV0147,56,51+,Female,West,Standard,Mobile App,Business,95,56,11,5,2,41.2,No,No,0
EV0148,29,26-35,Female,North,Standard,Mobile App,Arts,82,129,2,0,12,14.7,No,No,0
EV0149,32,26-35,Female,East,VIP,Mobile App,Health,36,239,5,3,3,56.2,No,No,1
EV0150,59,51+,Female,East,VIP,Mobile App,Technology,65,200,6,6,12,78.8,No,Yes,1
EV0151,44,36-50,Male,North,Standard,Phone,Education,74,133,12,0,9,61.9,No,No,1
EV0152,59,51+,Female,North,VIP,Phone,Health,65,437,13,1,10,54.2,No,Yes,1
EV0153,30,26-35,Female,South,Standard,Website,Health,38,179,2,3,1,72.4,Yes,Yes,1
EV0154,34,26-35,Female,West,VIP,Website,Education,61,185,11,2,3,47.3,Yes,Yes,1
EV0155,45,36-50,Female,East,Standard,Mobile App,Education,33,141,7,6,0,93.2,Yes,Yes,1
EV0156,66,51+,Male,North,Standard,Mobile App,Technology,25,115,9,6,12,55.3,No,Yes,1
EV0157,77,51+,Male,North,VIP,Partner Site,Technology,77,226,2,2,9,69.4,Yes,No,0
EV0158,46,36-50,Female,East,Free,Website,Education,101,0,1,6,9,22.3,Yes,Yes,1
EV0159,46,36-50,Male,South,Free,Phone,Technology,50,0,7,1,9,71.1,Yes,No,0
EV0160,69,51+,Female,South,Standard,Phone,Arts,56,112,9,5,10,29.0,No,No,1
EV0161,58,51+,Male,West,Standard,Website,Health,41,82,17,4,9,4.1,Yes,Yes,1
EV0162,27,26-35,Male,East,Free,Phone,Technology,1,0,0,3,11,36.3,No,Yes,0
EV0163,28,26-35,Male,North,Standard,Website,Health,6,49,18,4,11,5.5,No,No,1
EV0164,64,51+,Male,South,Free,Partner Site,Education,30,0,4,4,11,78.1,No,Yes,0
EV0165,25,18-25,Male,South,Standard,Website,Education,73,154,12,2,6,64.5,No,Yes,1
EV0166,18,18-25,Female,North,Standard,Phone,Technology,39,97,12,4,3,83.6,No,Yes,1
EV0167,53,51+,Male,East,Standard,Mobile App,Education,116,113,0,4,9,55.6,No,Yes,1
EV0168,39,36-50,Male,West,Student,Website,Health,35,21,3,2,12,9.8,Yes,Yes,1
EV0169,56,51+,Male,South,VIP,Mobile App,Health,46,406,3,3,9,84.1,No,No,0
EV0170,74,51+,Female,South,Standard,Phone,Education,7,179,13,5,2,64.4,No,Yes,1
EV0171,74,51+,Female,East,Student,Partner Site,Health,34,17,12,2,8,68.4,No,Yes,0
EV0172,62,51+,Female,West,Free,Website,Arts,53,0,6,0,9,40.1,Yes,No,1
EV0173,58,51+,Male,East,Standard,Phone,Arts,90,79,12,4,3,40.2,No,No,0
EV0174,64,51+,Male,South,Standard,Phone,Business,75,171,11,1,9,74.0,No,Yes,1
EV0175,67,51+,Male,North,Standard,Partner Site,Technology,108,77,10,0,1,68.1,No,Yes,1
EV0176,21,18-25,Male,South,Free,Partner Site,Health,66,,1,3,5,57.5,No,Yes,1
EV0177,26,26-35,Female,East,Standard,Partner Site,Education,7,46,5,5,5,54.5,Yes,Yes,1
EV0178,29,26-35,Male,South,Standard,Website,Health,117,137,6,4,6,86.8,No,Yes,1
EV0179,66,51+,Male,West,Student,Mobile App,Education,117,35,15,0,1,46.3,No,No,1
EV0180,67,51+,Female,South,Standard,Phone,Technology,107,88,4,3,7,84.1,No,Yes,0
EV0181,67,51+,Male,East,VIP,Partner Site,Technology,61,444,5,5,3,89.2,No,Yes,1
EV0182,43,36-50,Female,West,Free,Website,Health,77,0,2,4,1,89.4,Yes,Yes,0
EV0183,52,51+,Male,North,Standard,Phone,Arts,34,144,12,2,5,89.3,Yes,No,0
EV0184,68,51+,Female,East,Student,Mobile App,Health,120,21,2,1,10,86.3,No,Yes,0
EV0185,33,26-35,Male,East,VIP,Mobile App,Education,74,334,3,0,11,61.1,No,Yes,1
EV0186,42,36-50,Female,North,Student,Partner Site,Arts,101,17,4,4,6,13.4,Yes,Yes,1
EV0187,64,51+,Female,West,Student,Website,Arts,94,15,7,3,0,3.3,Yes,No,0
EV0188,36,36-50,Female,West,Standard,Mobile App,Business,79,71,17,2,7,48.1,No,Yes,1
EV0189,23,18-25,Male,West,Standard,Website,Business,30,88,2,2,9,74.7,Yes,Yes,1
EV0190,36,36-50,Female,West,VIP,Website,Technology,56,302,1,4,3,77.4,No,No,0
EV0191,32,26-35,Male,South,Free,Phone,Business,61,0,17,3,0,84.7,No,No,0
EV0192,18,18-25,Female,South,VIP,Website,Arts,45,265,13,5,5,12.5,Yes,Yes,1
EV0193,56,51+,Male,North,Standard,Website,Arts,93,112,13,2,7,2.5,No,No,1
EV0194,24,18-25,Male,South,Standard,Partner Site,Health,87,51,0,6,0,38.6,No,Yes,1
EV0195,66,51+,Male,West,Standard,Mobile App,Business,29,46,5,3,4,70.8,No,Yes,1
EV0196,28,26-35,Female,South,Free,Phone,Health,62,0,2,3,4,50.2,Yes,Yes,0
EV0197,73,51+,Female,South,Standard,Phone,Arts,101,176,17,5,2,11.1,Yes,Yes,1
EV0198,69,51+,Male,South,Standard,Mobile App,Health,77,162,5,5,4,52.4,No,Yes,1
EV0199,74,51+,Male,West,Free,Mobile App,Business,80,0,0,0,1,44.1,No,No,0
EV0200,24,18-25,Male,North,Free,Mobile App,Health,7,0,7,5,5,7.1,No,Yes,1
EV0201,26,26-35,Male,South,Standard,Phone,Arts,78,130,5,3,7,40.8,No,No,0
EV0202,65,51+,Male,West,Standard,Website,Health,14,62,9,5,8,33.4,No,Yes,1
EV0203,67,51+,Female,West,Standard,Website,Technology,33,,11,5,10,32.2,No,Yes,1
EV0204,32,26-35,Female,North,Standard,Mobile App,Business,18,112,0,0,1,65.0,No,No,0
EV0205,68,51+,Female,West,Standard,Partner Site,Education,87,120,3,0,4,70.5,No,No,0
EV0206,68,51+,Male,South,Standard,Website,Arts,63,161,7,3,9,51.0,No,No,0
EV0207,71,51+,Female,South,Free,Website,Health,15,0,9,1,0,50.4,No,Yes,1
EV0208,62,51+,Female,South,Standard,Website,Business,56,144,13,5,10,35.4,No,No,1
EV0209,25,18-25,Male,West,Standard,Mobile App,Arts,113,45,17,6,1,1.2,No,No,1
EV0210,40,36-50,Female,East,Standard,Phone,Business,104,125,14,6,2,65.7,No,No,1
EV0211,37,36-50,Female,North,Student,Website,Business,73,25,5,5,11,35.1,No,Yes,1
EV0212,60,51+,Male,West,Free,Phone,Technology,7,0,7,1,8,31.8,No,No,1
EV0213,55,51+,Female,East,Free,Partner Site,Education,33,0,3,3,0,69.1,No,Yes,1
EV0214,54,51+,Female,West,Free,Phone,Health,106,0,9,2,8,,Yes,No,0
EV0215,54,51+,Female,West,VIP,Mobile App,Arts,106,311,17,2,11,70.2,No,Yes,1
EV0216,65,51+,Female,West,Standard,Phone,Arts,66,158,16,2,11,93.4,No,Yes,1
EV0217,56,51+,Male,South,Standard,Website,Arts,119,172,8,5,6,90.7,No,Yes,1
EV0218,74,51+,Male,West,Standard,Partner Site,Business,49,54,8,3,9,70.4,Yes,No,0
EV0219,29,26-35,Female,South,Free,Partner Site,Business,1,0,12,3,6,59.7,No,No,0
EV0220,32,26-35,Male,East,Standard,Website,Technology,108,127,18,3,5,27.9,No,Yes,1
EV0221,66,51+,Male,West,VIP,Website,Technology,110,319,16,2,0,33.3,Yes,No,1
EV0222,31,26-35,Male,West,VIP,Partner Site,Technology,37,348,11,6,11,24.7,No,Yes,1
EV0223,74,51+,Male,South,Free,Website,Education,2,0,6,4,4,85.5,No,No,0
EV0224,75,51+,Female,South,Standard,Mobile App,Arts,40,136,10,1,3,39.3,Yes,Yes,1
EV0225,48,36-50,Female,West,Standard,Phone,Health,56,97,17,2,1,85.5,Yes,Yes,1
EV0226,22,18-25,Female,South,Free,Phone,Education,33,0,18,0,0,11.6,No,No,0
EV0227,39,36-50,Female,South,Free,Mobile App,Arts,6,0,17,3,2,3.4,Yes,Yes,1
EV0228,21,18-25,Female,West,Student,Mobile App,Arts,27,15,2,2,9,81.7,Yes,No,0
EV0229,25,18-25,Female,East,Standard,Website,Business,62,161,3,4,10,17.6,No,Yes,1
EV0230,26,26-35,Female,East,Standard,Phone,Arts,117,135,18,1,10,70.2,No,Yes,1
EV0231,63,51+,Male,West,Student,Phone,Education,109,18,12,5,1,81.0,No,No,0
EV0232,64,51+,Male,West,Free,Phone,Education,61,0,3,6,4,54.5,Yes,Yes,1
EV0233,20,18-25,Male,East,Free,Mobile App,Arts,95,0,6,0,5,44.6,No,No,0
EV0234,62,51+,Female,North,Student,Phone,Health,38,10,6,3,0,47.7,No,Yes,0
EV0235,20,18-25,Male,West,Standard,Phone,Arts,74,43,1,3,6,37.1,No,Yes,0
EV0236,57,51+,Female,North,Standard,Partner Site,Technology,84,90,15,4,1,69.9,No,No,1
EV0237,24,18-25,Female,South,Standard,Partner Site,Education,22,150,15,5,6,52.8,Yes,Yes,1
EV0238,74,51+,Male,North,Free,Website,Business,28,0,9,1,2,17.2,No,Yes,1
EV0239,70,51+,Male,South,Free,Partner Site,Arts,82,0,18,2,2,57.9,No,No,1
EV0240,78,51+,Female,South,Standard,Phone,Education,101,135,0,3,5,1.4,No,No,0
EV0241,74,51+,Male,South,Free,Partner Site,Education,21,0,1,3,8,70.7,Yes,Yes,1
EV0242,51,51+,Female,North,Standard,Website,Technology,21,89,15,3,7,36.8,Yes,No,1
EV0243,37,36-50,Female,North,Standard,Phone,Business,27,180,7,4,11,33.7,No,No,1
EV0244,24,18-25,Male,North,Free,Website,Education,107,0,17,0,9,89.9,No,Yes,1
EV0245,65,51+,Female,East,VIP,Website,Health,15,390,16,0,2,8.0,No,Yes,1
EV0246,39,36-50,Male,West,Standard,Phone,Health,44,132,18,4,0,25.7,No,No,1
EV0247,74,51+,Male,East,Standard,Website,Health,82,64,2,6,6,33.1,No,No,0
EV0248,66,51+,Male,North,Standard,Partner Site,Arts,86,,0,3,12,,No,No,0
EV0249,47,36-50,Male,South,VIP,Phone,Education,100,321,6,1,11,28.4,Yes,No,0
EV0250,78,51+,Female,South,Free,Partner Site,Arts,63,0,7,0,10,45.6,No,Yes,0
EV0251,49,36-50,Male,North,Student,Website,Technology,66,11,2,1,12,75.3,No,No,0
EV0252,78,51+,Male,West,Student,Mobile App,Arts,57,28,1,1,2,88.6,Yes,Yes,0
EV0253,72,51+,Female,West,Free,Phone,Education,115,0,3,0,4,43.5,Yes,No,0
EV0254,57,51+,Male,East,Free,Website,Arts,86,0,8,4,6,94.2,Yes,Yes,1
EV0255,21,18-25,Female,West,Free,Mobile App,Health,59,0,18,5,0,56.0,No,No,1
EV0256,31,26-35,Female,West,Free,Mobile App,Arts,39,0,6,5,11,78.1,No,No,1
EV0257,73,51+,Female,East,Standard,Partner Site,Business,119,174,11,2,1,61.0,No,No,0
EV0258,58,51+,Male,North,Standard,Phone,Education,109,179,0,2,12,88.0,Yes,Yes,0
EV0259,76,51+,Male,South,Standard,Mobile App,Business,87,74,3,4,1,34.0,No,No,0
EV0260,29,26-35,Female,South,VIP,Phone,Health,5,300,15,0,8,60.5,Yes,No,1
EV0261,70,51+,Female,South,Standard,Phone,Education,56,80,6,1,12,7.9,Yes,Yes,1
EV0262,49,36-50,Female,West,Standard,Mobile App,Education,38,66,13,6,11,31.6,No,Yes,1
EV0263,36,36-50,Male,South,Free,Website,Arts,63,0,13,0,4,80.5,No,Yes,0
EV0264,28,26-35,Male,East,Standard,Mobile App,Health,107,150,9,2,8,72.8,Yes,No,0
EV0265,53,51+,Female,North,Free,Phone,Education,58,0,0,1,6,77.0,Yes,Yes,0
EV0266,21,18-25,Female,West,Standard,Website,Health,107,168,18,5,6,20.3,Yes,Yes,1
EV0267,69,51+,Male,South,Student,Phone,Health,61,17,16,5,8,41.2,No,Yes,1
EV0268,56,51+,Female,West,Free,Mobile App,Business,74,0,5,4,2,41.1,No,No,0
EV0269,70,51+,Male,East,Free,Phone,Health,89,0,2,0,9,21.2,Yes,No,0
EV0270,22,18-25,Female,South,Student,Mobile App,Business,15,20,3,4,10,38.2,No,No,0
EV0271,32,26-35,Female,South,Standard,Website,Health,67,119,6,2,0,78.6,Yes,Yes,0
EV0272,38,36-50,Male,South,Standard,Website,Health,15,72,6,2,0,66.5,No,No,0
EV0273,22,18-25,Male,North,Free,Website,Health,94,0,6,1,1,85.7,No,Yes,0
EV0274,51,51+,Male,North,Standard,Phone,Health,112,65,3,0,4,87.1,No,Yes,0
EV0275,38,36-50,Female,South,Free,Phone,Arts,75,0,2,2,6,87.6,No,Yes,0
EV0276,46,36-50,Male,West,Standard,Partner Site,Arts,65,110,14,3,1,63.2,No,No,0
EV0277,41,36-50,Female,East,Free,Mobile App,Technology,113,0,16,0,10,65.3,No,Yes,0
EV0278,63,51+,Female,South,Standard,Website,Education,6,69,7,0,2,41.9,No,No,1
EV0279,52,51+,Male,North,Standard,Phone,Arts,80,132,11,5,1,62.0,No,Yes,1
EV0280,68,51+,Male,South,Standard,Website,Business,25,150,7,3,7,73.6,Yes,Yes,1
EV0281,59,51+,Female,North,Free,Partner Site,Arts,36,0,12,4,7,27.9,No,Yes,1
EV0282,70,51+,Male,East,VIP,Website,Technology,7,430,5,4,4,34.9,No,Yes,1
